Ileak	T	Leff
2.668490e-08	6.735582e+02	2.079184e-08
4.107448e-08	6.818235e+02	2.079184e-08
6.587659e-08	6.900888e+02	2.079184e-08
1.083286e-07	6.983541e+02	2.079184e-08
1.803051e-07	7.066194e+02	2.079184e-08
3.010110e-07	7.148847e+02	2.079184e-08
5.010503e-07	7.231500e+02	2.079184e-08
1.424381e-10	3.181500e+02	2.090204e-08
1.638500e-10	3.264153e+02	2.090204e-08
1.889139e-10	3.346806e+02	2.090204e-08
2.180171e-10	3.429459e+02	2.090204e-08
2.515572e-10	3.512112e+02	2.090204e-08
2.899400e-10	3.594765e+02	2.090204e-08
3.335776e-10	3.677418e+02	2.090204e-08
3.828858e-10	3.760071e+02	2.090204e-08
4.382839e-10	3.842724e+02	2.090204e-08
5.001920e-10	3.925378e+02	2.090204e-08
5.690275e-10	4.008031e+02	2.090204e-08
6.452081e-10	4.090684e+02	2.090204e-08
7.291476e-10	4.173337e+02	2.090204e-08
8.212560e-10	4.255990e+02	2.090204e-08
9.219383e-10	4.338643e+02	2.090204e-08
1.031594e-09	4.421296e+02	2.090204e-08
1.150618e-09	4.503949e+02	2.090204e-08
1.279397e-09	4.586602e+02	2.090204e-08
1.418314e-09	4.669255e+02	2.090204e-08
1.567744e-09	4.751908e+02	2.090204e-08
1.728057e-09	4.834561e+02	2.090204e-08
1.899618e-09	4.917214e+02	2.090204e-08
2.082784e-09	4.999867e+02	2.090204e-08
2.277913e-09	5.082520e+02	2.090204e-08
2.485356e-09	5.165173e+02	2.090204e-08
2.705467e-09	5.247827e+02	2.090204e-08
2.938599e-09	5.330480e+02	2.090204e-08
3.185126e-09	5.413133e+02	2.090204e-08
3.445459e-09	5.495786e+02	2.090204e-08
3.720091e-09	5.578439e+02	2.090204e-08
4.009699e-09	5.661092e+02	2.090204e-08
4.315336e-09	5.743745e+02	2.090204e-08
4.638830e-09	5.826398e+02	2.090204e-08
4.983559e-09	5.909051e+02	2.090204e-08
5.355953e-09	5.991704e+02	2.090204e-08
5.768340e-09	6.074357e+02	2.090204e-08
6.244244e-09	6.157010e+02	2.090204e-08
6.828103e-09	6.239663e+02	2.090204e-08
7.602771e-09	6.322316e+02	2.090204e-08
8.720568e-09	6.404969e+02	2.090204e-08
1.045749e-08	6.487622e+02	2.090204e-08
1.330649e-08	6.570276e+02	2.090204e-08
1.813521e-08	6.652929e+02	2.090204e-08
2.644964e-08	6.735582e+02	2.090204e-08
4.082700e-08	6.818235e+02	2.090204e-08
6.561645e-08	6.900888e+02	2.090204e-08
1.080554e-07	6.983541e+02	2.090204e-08
1.800183e-07	7.066194e+02	2.090204e-08
3.007101e-07	7.148847e+02	2.090204e-08
